number,value,datetime_start,datetime_complete,duration,params_linear_alpha,params_linear_solver,state
170,0.5635061728395061,2022-09-18 12:33:23.868355,2022-09-18 12:34:07.230928,0 days 00:00:43.362573,10209.626816862308,svd,COMPLETE
171,0.5630288065843622,2022-09-18 12:33:53.246690,2022-09-18 12:34:39.180009,0 days 00:00:45.933319,9582.342292683,svd,COMPLETE
172,0.5986502057613169,2022-09-18 12:34:07.301255,2022-09-18 12:34:47.504215,0 days 00:00:40.202960,35973.55228890879,svd,COMPLETE
173,0.6042469135802468,2022-09-18 12:34:39.274808,2022-09-18 12:35:20.273462,0 days 00:00:40.998654,40895.983659106896,svd,COMPLETE
174,0.6327572016460905,2022-09-18 12:34:47.617704,2022-09-18 12:35:31.718535,0 days 00:00:44.100831,75461.35616303205,svd,COMPLETE
175,0.5675390946502057,2022-09-18 12:35:20.405615,2022-09-18 12:36:13.941736,0 days 00:00:53.536121,3971.153233707878,svd,COMPLETE
176,0.5671111111111111,2022-09-18 12:35:31.791438,2022-09-18 12:36:13.655580,0 days 00:00:41.864142,4117.314038532625,svd,COMPLETE
177,0.5645267489711934,2022-09-18 12:36:13.734520,2022-09-18 12:37:01.389097,0 days 00:00:47.654577,11434.010266599003,svd,COMPLETE
178,0.5630946502057613,2022-09-18 12:36:13.995519,2022-09-18 12:37:01.772647,0 days 00:00:47.777128,8973.316392779767,svd,COMPLETE
179,0.8062716049382717,2022-09-18 12:37:01.475121,2022-09-18 12:37:43.980276,0 days 00:00:42.505155,988866566.2376789,svd,COMPLETE
180,0.5631111111111111,2022-09-18 12:37:01.854156,2022-09-18 12:37:43.598895,0 days 00:00:41.744739,7708.018528813556,svd,COMPLETE
181,0.8062716049382717,2022-09-18 12:37:43.686657,2022-09-18 12:38:27.456283,0 days 00:00:43.769626,1459858587.7983704,svd,COMPLETE
